CustomerID,Recommendations
C0001,"[('C0152', 0.9999926011976817), ('C0107', 0.9994676925641001), ('C0011', 0.9989784638508258)]"
C0002,"[('C0142', 0.9944155885996513), ('C0134', 0.9914670048158603), ('C0056', 0.9848683915726563)]"
C0003,"[('C0001', 0.996697929365131), ('C0152', 0.9966694010376671), ('C0107', 0.9959879743897866)]"
C0004,"[('C0108', 0.9978542558017911), ('C0012', 0.9971605384742013), ('C0155', 0.9966143151617873)]"
C0005,"[('C0159', 0.9999496127620991), ('C0186', 0.9967852758772054), ('C0007', 0.9926424153803178)]"
C0006,"[('C0158', 0.9979646732833836), ('C0148', 0.9959986699227823), ('C0187', 0.9950161911712916)]"
C0007,"[('C0115', 0.9961947337417923), ('C0159', 0.993807890916523), ('C0005', 0.9926424153803178)]"
C0008,"[('C0109', 0.9971833780868338), ('C0098', 0.9934329039981148), ('C0024', 0.9855488750159498)]"
C0009,"[('C0010', 0.9901962543336894), ('C0198', 0.9884326662046992), ('C0199', 0.9839392143705086)]"
C0010,"[('C0199', 0.99883566426081), ('C0062', 0.9927564190950082), ('C0009', 0.9901962543336894)]"
C0011,"[('C0107', 0.9999209442561072), ('C0152', 0.9991449030484458), ('C0001', 0.9989784638508258)]"
C0012,"[('C0155', 0.9999217266315741), ('C0108', 0.9994398048212132), ('C0013', 0.9979678463162561)]"
C0013,"[('C0087', 0.9989075471182157), ('C0155', 0.9986869664168725), ('C0012', 0.9979678463162561)]"
C0014,"[('C0060', 0.9821082242859507), ('C0063', 0.9572504340544183), ('C0198', 0.9418994921299263)]"
C0015,"[('C0144', 0.9988017962654419), ('C0131', 0.9937228599016138), ('C0176', 0.9859179442118479)]"
C0016,"[('C0183', 0.9999960631640346), ('C0026', 0.9953473080921946), ('C0018', 0.9950773669780851)]"
C0017,"[('C0075', 0.9973892990707052), ('C0179', 0.992211669640715), ('C0081', 0.9920026907883249)]"
C0018,"[('C0079', 0.9956959111319569), ('C0026', 0.9953356964676308), ('C0016', 0.9950773669780851)]"
C0019,"[('C0069', 0.9854452922834547), ('C0010', 0.9852167060975875), ('C0199', 0.9823395581285278)]"
C0020,"[('C0050', 0.9443576962028122), ('C0144', 0.9404255771521678), ('C0042', 0.9401552471772746)]"
